 TRIP_DISTANCE,TEL_TRIPSTART,Trip Start time in mins, TEL_STARTODO, TEL_TRIPEND,Trip End time in mins,Difference of trip times, TEL_ENDODO, TEL_SOC_START, TEL_SOC_END,Percent Lost SOC, TEL_AVG_VELOCITY, AC_ON_DURATION, HEADLAMP_ON_DURATION, CHARGE_START, CHARGE_END, CHARGE_AMOUNT (Wh), FULLCHARGEFLAG, FULLCHARGE_KMSPAN, FULLCHARGE_EFFICIENCY, FULLCHARGE_AMOUNT, VEHICLE_ID, START_BAT_ACTUAL, END_BAT_ACTUAL
5,05:57.0,0005,11372,13:39.0,0013,8,11376,70,65,5,30,0,5.67,00:00.0,10:00.0,5537,1,27,205.074074,5537,19,12,10
3,24:48.4,0024,8426,37:06.4,0037,13,8430,48,40,8,18.46,7.73,12.3,02:00.0,43:00.0,9826,1,57,172.385965,9826,23,7,5
37,18:12.4,0018,19986,53:52.4,0053,35,20023,72,27,45,63.43,30.73,0,50:00.0,00:00.0,312,0,,,,17,12,3
12,02:26.6,0002,22850,25:09.6,0025,23,22862,63,52,11,31.3,0,0,20:00.0,10:00.0,1698,0,,,,13,10,8
11,34:29.6,0034,22862,51:45.7,0051,17,22873,57,45,12,38.82,0,0,50:00.0,20:00.0,9152,1,68,159.558824,10850,13,8,6
4,51:18.5,0051,20035,59:21.5,0059,8,20039,33,30,3,30,0,0,10:00.0,00:00.0,1761,0,,,,17,4,4
17,10:16.8,0010,13434,48:13.9,0048,38,13452,83,63,20,28.42,0,28.18,50:00.0,00:00.0,5600,1,40,140,5600,15,14,-1
2,42:54.7,0042,10686,52:03.7,0052,10,10689,35,32,3,18,9.15,5.1,40:00.0,10:00.0,13098,1,125,126.336,15792,12,5,5
8,16:29.7,0016,7080,29:25.7,0029,13,7088,85,74,11,36.92,0,12.93,30:00.0,40:00.0,4452,1,20,222.6,4452,7,14,12
4,05:15.5,0005,20039,15:26.5,0015,10,20043,30,24,6,24,0,9.15,10:00.0,50:00.0,12728,1,91,162.648352,14801,17,4,3
9,10:11.7,0010,14806,56:29.8,0056,46,14830,65,42,23,31.3,46.3,0,11:00.0,16:00.0,9176,1,61,150.42623,9176,5,10,6
5,35:28.4,0035,7552,48:22.4,0048,13,7558,69,61,8,27.69,1.02,0,40:00.0,10:00.0,6083,1,28,217.25,6083,7,11,10
5,21:19.7,0021,21255,31:01.8,0031,10,21260,22,16,6,30,0,9.7,20:00.0,40:00.0,14495,1,93,155.860215,14495,17,2,1
22,25:34.2,0025,23957,25:44.4,0025,0,23979,82,57,25,22,0,5.98,20:00.0,40:00.0,6316,1,45,140.355556,6316,13,14,9
6,26:53.4,0026,13617,40:10.4,0040,14,13624,19,11,8,30,0,0,00:00.0,20:00.0,14242,1,81,175.82716,14242,19,2,-1
19,10:17.7,0010,7797,39:24.7,0039,29,7818,63,44,19,43.45,0,29.12,21:00.0,21:00.0,18000,1,50,360,18000,20,10,-1
11,16:27.8,0016,7202,31:25.8,0031,15,7214,83,71,12,48,0,14.97,10:00.0,00:00.0,4347,1,25,173.88,4347,8,14,12
2,36:33.9,0036,9442,43:51.9,0043,7,9444,54,51,3,17.14,0,7.3,47:00.0,32:00.0,7626,1,43,177.348837,7626,23,8,8
6,16:28.8,0016,14604,26:12.9,0026,10,14609,25,20,5,30,0,9.73,00:00.0,10:00.0,13841,1,81,170.876543,13841,19,3,2
13,22:56.1,0022,7639,45:56.1,0045,23,7652,49,32,17,33.91,0,17.95,10:00.0,40:00.0,12047,1,113,171.778761,19411,8,7,4
39,35:28.2,0035,22566,41:42.3,0041,6,22605,97,57,40,35.45,0,0,40:00.0,12:00.0,6795,1,40,169.875,6795,11,16,9
3,46:21.0,0046,4259,53:29.6,0053,7,4262,69,65,4,25.71,0,0,53:00.0,07:00.0,5393,1,24,224.708333,5393,21,10,-1
25,35:26.5,0035,11631,44:50.6,0044,9,11664,97,63,34,28.7,55.22,0,11:00.0,53:00.0,2037,0,,,,15,14,10
20,11:29.9,0011,15117,57:30.0,0057,46,15138,79,58,21,27.39,0,0,02:00.0,01:00.0,5435,1,52,176.423077,9174,14,13,9
16,08:16.2,0008,14314,38:29.3,0038,30,14354,101,66,35,26.67,29.58,3.05,39:00.0,44:00.0,3146,0,,,,18,13,11
10,18:13.6,0018,4271,38:45.7,0038,20,4282,90,80,10,33,0,0,41:00.0,33:00.0,3773,1,20,188.65,3773,21,15,13
9,13:57.0,0013,7176,45:06.0,0045,32,7193,102,-5,107,31.88,0,0,48:00.0,13:00.0,2825,1,17,166.176471,2825,9,14,13
22,56:40.4,0056,14375,56:58.5,0056,0,14398,65,48,17,23,0,8.42,57:00.0,57:00.0,9352,1,84,148.785714,12498,18,10,7
9,03:59.4,0003,16588,28:36.5,0028,25,16598,58,50,8,24,0,19.07,10:00.0,10:00.0,2225,0,,,,17,9,8
39,27:45.3,0027,22605,37:57.5,0037,10,22644,103,54,49,33.43,0,69.19,50:00.0,40:00.0,7077,1,39,181.461538,7077,11,16,8
5,13:36.5,0013,16599,26:49.5,0026,13,16607,48,42,6,36.92,0,10.17,10:00.0,40:00.0,11115,1,72,185.277778,13340,17,7,-1
27,03:52.0,0003,14533,58:22.1,0058,55,14560,68,46,22,29.45,0,3.03,09:00.0,51:00.0,9271,1,57,162.649123,9271,5,11,7
45,20:45.0,0020,18603,55:33.1,0055,35,18648,102,51,51,77.14,0,0,58:00.0,21:00.0,8461,1,45,188.022222,8461,17,16,8
14,13:42.9,0013,18209,34:40.0,0034,21,18223,86,73,13,40,0,0,37:00.0,11:00.0,4304,1,27,159.407407,4304,16,14,12
15,07:12.7,0007,15224,45:34.7,0045,38,15239,90,74,16,23.68,36.35,0,54:00.0,51:00.0,4714,1,30,157.133333,4714,18,15,12
5,15:42.1,0015,16528,31:59.1,0031,16,16534,70,61,9,22.5,16.28,0,40:00.0,46:00.0,246,0,,,,19,11,10
7,04:18.8,0004,16847,17:30.9,0017,13,16855,77,69,8,36.92,0,10.17,40:00.0,40:00.0,4589,1,35,160.771429,5627,19,12,11
10,01:06.1,0001,22311,21:48.2,0021,20,22321,81,63,18,30,11.3,19.68,20:00.0,10:00.0,6743,1,39,243.820513,9509,13,12,10
5,07:26.3,0007,15560,24:33.4,0024,17,15566,66,61,5,21.18,0,17.12,38:00.0,30:00.0,6649,1,35,189.971429,6649,18,11,10
12,02:07.8,0002,18772,38:02.9,0038,36,18784,47,35,12,20,0,0,39:00.0,46:00.0,10873,1,74,146.932432,10873,16,7,5
7,11:05.7,0011,24629,31:29.8,0031,20,24637,63,52,11,24,0,0,31:00.0,01:00.0,5000,1,8,625,5000,11,10,8
7,13:38.8,0013,17714,29:08.9,0029,16,17739,59,-5,64,19.74,0,0,34:00.0,15:00.0,4016,1,181,22.187845,4016,16,6,5
15,15:24.3,0015,14795,56:59.3,0056,41,14811,74,59,15,23.41,0,18.97,01:00.0,58:00.0,6978,1,45,155.066667,6978,18,12,-1
45,01:18.9,0001,17602,51:22.9,0051,50,17647,101,54,47,54,0,50.07,00:00.0,50:00.0,6943,1,45,154.288889,6943,17,16,8
4,23:55.5,0023,10518,32:43.5,0032,9,10522,58,54,4,26.67,0,0,33:00.0,57:00.0,6671,1,43,155.139535,6671,23,9,8
8,14:35.3,0014,5393,29:55.4,0029,15,5401,45,37,8,32,10.72,0,34:00.0,40:00.0,10125,1,81,125,10125,20,6,5
10,20:45.3,0020,15269,58:18.3,0058,38,15289,72,47,25,31.58,0,0,59:00.0,49:00.0,8045,1,40,201.125,8045,10,9,7
13,08:46.5,0008,15783,58:03.6,0058,50,15797,81,64,17,16.8,0,38.58,04:00.0,20:00.0,3456,1,136,25.411765,3456,16,14,10
9,22:17.9,0022,7892,44:52.9,0044,22,7901,81,71,10,24.55,3.03,0,20:00.0,46:00.0,749,1,83,9.024096,749,20,14,-1
6,01:55.8,0001,17143,23:47.8,0023,22,17148,86,79,7,13.64,0,0,20:00.0,50:00.0,3522,1,17,207.176471,3522,19,15,13
21,09:16.7,0009,11801,52:18.8,0052,43,11822,73,56,17,29.3,29.72,0,24:00.0,29:00.0,13009,1,42,309.738095,13009,23,13,9
25,03:46.7,0003,20102,35:25.8,0035,32,20127,47,22,25,46.88,31.65,0,30:00.0,10:00.0,12384,1,84,147.428571,12384,17,7,2
3,36:21.0,0036,22921,50:14.1,0050,14,22927,88,82,6,25.71,0,0,50:00.0,00:00.0,2988,1,54,165.444444,8934,13,15,14
19,09:44.0,0009,15792,51:29.1,0051,42,15812,82,64,18,28.57,0,0,07:00.0,25:00.0,6145,1,43,142.906977,6145,18,14,10
18,04:27.0,0004,14761,12:40.1,0012,8,14763,85,84,1,15,0,0,10:00.0,00:00.0,1142,0,,,,15,16,14
25,22:07.0,0022,15697,50:55.0,0050,28,15722,64,37,27,53.57,0,0,52:00.0,22:00.0,10182,1,51,199.647059,10182,10,11,5
4,41:23.1,0041,9956,48:11.1,0048,7,9960,56,52,4,34.29,0,6.8,51:00.0,27:00.0,7264,1,43,168.930233,7264,23,9,-1
17,14:36.7,0014,15454,40:43.8,0040,26,15472,69,49,20,41.54,0,23.07,00:00.0,40:00.0,8965,1,44,203.75,8965,24,11,7
4,01:29.6,0001,13412,14:21.6,0014,13,13416,38,35,3,18.46,0,4.07,16:00.0,50:00.0,9942,1,110,130.936364,14403,5,5,5
44,12:17.7,0012,16973,58:13.8,0058,46,17019,97,40,57,60,0,0,01:00.0,32:00.0,9727,1,46,211.456522,9727,17,16,-1
11,28:22.1,0028,7356,48:22.2,0048,20,7367,89,79,10,33,0,0,48:00.0,52:00.0,4026,1,21,191.714286,4026,9,15,13
1,10:39.6,0010,15371,39:10.7,0039,29,15378,83,74,9,14.48,6.15,0,40:00.0,10:00.0,3972,1,43,158.325581,6808,14,13,11
10,32:56.8,0032,5914,52:15.8,0052,20,5924,35,23,12,30,0,0,00:00.0,00:00.0,13295,1,68,195.514706,13295,7,5,3
12,35:55.6,0035,4359,58:43.6,0058,23,4372,78,64,14,33.91,22.8,0,01:00.0,45:00.0,6268,1,25,250.72,6268,21,13,11
10,43:21.6,0043,14545,52:51.7,0052,9,14567,83,57,26,19.13,42.12,11.98,56:00.0,47:00.0,7269,1,55,186.381818,10251,18,11,9
13,08:24.7,0008,15915,38:08.7,0038,30,15929,92,75,17,28,29.73,29.73,00:00.0,50:00.0,3910,1,14,279.285714,3910,24,16,12
5,25:45.0,0025,15622,35:54.1,0035,10,15626,33,25,8,24,10.15,10.15,00:00.0,50:00.0,12870,1,75,171.6,12870,19,4,3
8,11:20.4,0011,9724,24:27.4,0024,13,9732,94,82,12,36.92,0,13.12,10:00.0,50:00.0,3695,1,15,246.333333,3695,12,15,13
3,11:39.4,0011,10323,24:57.4,0024,13,10327,78,75,3,18.46,0,0,27:00.0,39:00.0,4406,1,20,220.3,4406,23,13,-1
56,23:22.9,0023,15754,23:36.0,0023,0,15810,66,14,52,56,0,60.22,00:00.0,10:00.0,13207,1,85,155.376471,13207,24,11,1
3,50:58.8,0050,6792,59:06.9,0059,9,6795,74,68,6,20,0,0,00:00.0,00:00.0,5156,1,44,198.75,8745,7,12,-1
3,06:46.4,0006,17089,24:50.4,0024,18,17093,85,79,6,13.33,0,0,00:00.0,50:00.0,4107,1,17,241.588235,4107,24,14,-1
12,05:57.9,0005,21228,19:55.9,0019,14,21240,29,18,11,51.43,0,0,20:00.0,20:00.0,13711,1,76,180.407895,13711,6,4,2
6,00:25.8,0000,10024,38:13.9,0038,38,10045,62,45,17,33.16,0,32.75,30:00.0,10:00.0,10615,1,64,165.859375,10615,12,10,-1
8,31:17.0,0031,6821,44:24.0,0044,13,6829,73,62,11,36.92,0,13.12,40:00.0,10:00.0,6278,1,28,224.214286,6278,7,12,10
22,18:17.7,0018,15776,41:36.7,0041,23,15799,61,38,23,60,0,23.32,00:00.0,00:00.0,10729,1,65,165.061538,10729,19,9,5
4,32:24.0,0032,21080,50:05.0,0050,18,21085,63,57,6,16.67,0,6.92,00:00.0,30:00.0,6665,1,66,200.424242,13228,13,10,8
13,13:08.7,0013,8255,32:57.8,0032,19,8269,54,38,16,44.21,9.02,18.12,30:00.0,10:00.0,27160,1,54,502.962963,27160,24,8,5
36,46:09.2,0046,15194,46:28.3,0046,0,15233,95,63,32,39,0,0,46:00.0,58:00.0,6900,1,39,176.923077,6900,11,16,10
1,46:20.9,0046,4178,52:29.9,0052,6,4180,100,97,3,20,0,0,53:00.0,16:00.0,893,1,2,446.5,893,9,16,-1
4,19:18.6,0019,9628,26:30.6,0026,7,9632,93,88,5,34.29,7.2,0,20:00.0,40:00.0,2556,1,4,639,2556,6,16,15
16,04:25.5,0004,12031,24:59.6,0025,21,12048,27,11,16,51,0,18,30:00.0,50:00.0,14529,1,88,165.102273,14529,10,3,0
2,04:06.5,0004,1961,06:06.5,0006,2,1962,46,45,1,30,2,2,10:00.0,00:00.0,10120,1,45,224.888889,10120,8,6,5
3,01:34.3,0001,13747,12:50.4,0012,11,13751,61,56,5,21.82,0,1,20:00.0,05:00.0,7996,1,37,216.108108,7996,5,10,8
6,36:14.1,0036,16207,52:25.1,0052,16,16214,51,45,6,26.25,0,0,40:00.0,20:00.0,9363,1,105,163.352381,17152,24,8,7
28,18:23.7,0018,7966,59:27.8,0059,41,7993,47,27,20,39.51,28.05,1,05:00.0,38:00.0,12952,1,114,148.219298,16897,18,6,2
9,38:54.1,0038,6044,50:40.1,0050,12,6054,47,39,8,50,11.77,11.77,50:00.0,20:00.0,12010,1,83,144.698795,12010,10,6,4
5,14:54.0,0014,9943,32:21.0,0032,18,9949,93,88,5,20,0,5.67,38:00.0,46:00.0,2526,1,6,421,2526,18,16,-1
4,28:28.1,0028,12747,44:34.1,0044,16,12755,69,62,7,30,0,0,10:00.0,30:00.0,5834,1,38,153.526316,5834,11,10,10
28,05:53.5,0005,11138,35:33.5,0035,30,11167,65,24,41,58,0,29.67,30:00.0,30:00.0,12802,1,59,216.983051,12802,24,10,3
2,25:01.3,0025,5673,31:16.3,0031,6,5675,88,85,3,20,0,0,57:00.0,19:00.0,450,1,7,64.285714,450,9,15,14
8,34:27.7,0034,3391,56:39.7,0056,22,3399,77,69,8,21.82,13.52,22.2,07:00.0,33:00.0,7841,1,45,174.244444,7841,21,13,11
10,07:12.5,0007,4486,25:13.6,0025,18,4497,24,15,9,36.67,0,0,40:00.0,10:00.0,14788,1,88,168.045455,14788,7,3,1
37,43:23.0,0043,10709,47:30.1,0047,4,10748,59,18,41,36.56,0,52.33,00:00.0,20:00.0,14070,1,89,158.089888,14070,19,9,-1
25,26:58.0,0026,9468,55:45.0,0055,29,9481,55,41,14,26.9,28.78,28.78,00:00.0,40:00.0,31606,1,58,544.931034,31606,13,10,5
17,02:59.9,0003,15332,52:23.9,0052,49,15388,97,28,69,67.2,22.37,44.82,54:00.0,48:00.0,11053,1,56,197.375,11053,6,7,3
3,10:05.1,0010,8031,15:43.1,0015,5,8034,41,39,2,36,5.63,3.08,40:00.0,50:00.0,10921,1,53,206.056604,10921,24,8,5
3,28:07.7,0028,12059,35:50.7,0035,7,12063,84,80,4,34.29,0,6.23,10:00.0,40:00.0,3466,1,11,315.090909,3466,10,14,13
2,07:09.7,0007,3788,13:24.7,0013,6,3790,31,29,2,20,0,4.78,10:00.0,40:00.0,12147,1,65,186.876923,12147,8,4,4
45,04:28.4,0004,16173,43:47.4,0043,39,16218,62,16,46,69.23,0,0,40:00.0,50:00.0,11691,0,,,,17,10,1
10,08:17.5,0008,7528,25:20.5,0025,17,7539,46,34,12,38.82,0,0,10:00.0,20:00.0,10928,1,68,160.705882,10928,8,7,4
8,18:38.5,0018,16228,28:50.5,0028,10,16236,73,64,9,48,0,10.2,30:00.0,50:00.0,6146,1,119,176.840336,21044,17,13,-1
4,05:48.6,0005,13450,16:58.6,0016,11,13453,63,60,3,16.36,3.55,7.62,20:00.0,41:00.0,6647,1,37,179.648649,6647,5,9,9
11,13:39.7,0013,4387,37:23.8,0037,24,4398,80,70,10,27.5,23.74,0,37:00.0,58:00.0,5237,1,26,201.423077,5237,21,13,11
7,25:45.6,0025,7429,44:03.6,0044,19,7436,92,85,7,22.11,18.3,0,46:00.0,44:00.0,2914,1,7,416.285714,2914,9,16,14
3,34:45.2,0034,15511,54:38.2,0054,20,15514,34,30,4,9,0,0,45:00.0,25:00.0,4793,0,,,,14,4,-1
5,29:59.5,0030,15085,36:36.5,0036,6,15090,39,33,6,42.86,0,6.62,00:00.0,20:00.0,11583,1,74,156.527027,11583,19,4,4
4,05:04.5,0005,14274,09:42.5,0009,4,14276,59,58,1,30,4.63,4.63,21:00.0,29:00.0,786,0,,,,5,9,9
5,42:59.6,0043,6746,58:48.6,0058,15,6751,93,91,2,18.75,0,10.25,40:00.0,50:00.0,2573,1,5,514.6,2573,7,16,16
12,13:21.9,0013,17017,36:41.0,0036,23,17029,56,44,12,31.3,0,23.32,00:00.0,30:00.0,9234,1,55,167.890909,9234,24,9,6
15,33:16.5,0033,21150,53:13.6,0053,20,21164,61,46,15,42,0,15.88,40:00.0,50:00.0,8436,1,58,145.448276,8436,6,9,7
3,29:01.3,0029,16817,42:17.3,0042,13,16820,59,55,4,13.85,0,12.25,40:00.0,30:00.0,8399,1,43,195.325581,8399,19,9,8
26,12:05.8,0012,8214,56:54.9,0056,44,8239,75,58,17,34.09,44.82,0,00:00.0,20:00.0,19614,1,54,363.222222,19614,13,11,8
2,33:41.9,0033,7230,43:25.9,0043,10,7231,98,97,1,6,9.73,0,30:00.0,12:00.0,4896,0,,,,11,15,15
26,25:05.9,0025,8026,58:52.9,0058,33,8049,75,59,16,41.82,33.78,3.97,08:00.0,53:00.0,7518,1,52,144.576923,7518,18,12,8
5,31:43.8,0031,6435,52:39.8,0052,21,6441,26,18,8,17.14,20.93,0,20:00.0,40:00.0,14454,1,103,140.330097,14454,15,3,2
14,05:37.1,0005,11863,28:05.1,0028,23,11879,62,40,22,41.74,0,20.93,20:00.0,20:00.0,10243,1,39,262.641026,10243,24,10,5
14,02:54.1,0002,15257,26:58.1,0026,24,15272,85,68,17,37.5,0,0,30:00.0,43:00.0,3448,0,,,,16,14,11
6,13:24.1,0013,15278,22:25.2,0022,9,15283,83,79,4,33.33,0,0,25:00.0,40:00.0,3054,1,39,166.717949,6502,16,14,13
17,04:28.4,0004,5694,26:35.4,0026,22,5711,88,74,14,46.36,0,0,29:00.0,27:00.0,2727,1,36,75.75,2727,9,15,-1
3,01:13.1,0001,14790,19:42.2,0019,18,14847,102,35,67,43.85,19.73,0,41:00.0,22:00.0,10435,1,4,2608.75,10435,6,6,5
18,20:39.4,0020,11140,31:54.6,0031,11,11160,64,44,20,16.9,0,0,33:00.0,45:00.0,9071,1,49,185.122449,9071,14,10,6
9,02:51.6,0002,10873,19:00.6,0019,17,10882,80,-5,85,31.76,0,0,20:00.0,11:00.0,5250,1,90,58.333333,5250,10,13,11
9,13:10.6,0013,4110,34:18.6,0034,21,4120,77,70,7,28.57,6.17,0,43:00.0,24:00.0,4468,1,36,124.111111,4468,9,13,11
1,04:48.5,0004,9963,14:30.5,0014,10,9967,83,79,4,24,2.05,9.7,00:00.0,20:00.0,8406,1,42,283.571429,11910,12,14,12
4,05:51.2,0005,14595,17:16.2,0017,12,14599,68,64,4,20,7.2,2.05,29:00.0,38:00.0,6404,1,39,164.205128,6404,5,11,10
7,39:25.8,0039,16831,59:12.8,0059,20,16839,89,78,11,24,0,3.03,40:00.0,10:00.0,1038,0,,,,19,15,-1
8,15:27.1,0015,15509,44:34.1,0044,29,15517,83,73,10,16.55,0,7.1,19:00.0,26:00.0,328,0,,,,18,14,12
10,33:04.3,0033,8919,59:50.4,0059,26,8929,64,54,10,23.08,24.77,26.77,04:00.0,10:00.0,8920,0,,,,11,9,7
24,05:23.7,0005,8357,39:24.8,0039,34,8380,77,62,15,40.59,4,3.93,48:00.0,19:00.0,1587,0,,,,18,12,-1
19,04:59.7,0005,11185,43:49.7,0043,38,11205,72,55,17,30.77,0,0,44:00.0,33:00.0,2448,0,,,,14,12,8
14,29:50.8,0029,15075,47:35.8,0047,18,15088,58,42,16,43.33,0,16.28,00:00.0,40:00.0,9188,1,55,167.054545,9188,11,9,6
2,13:15.6,0013,9163,20:23.6,0020,7,9165,88,87,1,17.14,7.13,0,50:00.0,10:00.0,2745,1,10,274.5,2745,24,5,5
17,13:48.5,0013,12002,50:45.5,0050,37,12020,67,47,20,29.19,14.87,0,51:00.0,46:00.0,8294,1,40,207.35,8294,14,11,7
40,05:45.0,0005,16342,16:26.1,0016,11,16382,95,52,43,33.8,0,67.48,00:00.0,50:00.0,7401,1,40,185.025,7401,11,16,8
5,26:53.8,0026,4148,37:37.8,0037,11,4153,44,38,6,27.27,0,7.18,10:00.0,00:00.0,10171,1,60,169.516667,10171,8,6,5
2,09:27.4,0009,11835,30:34.4,0030,21,11840,38,33,5,14.29,0,0,00:00.0,10:00.0,11064,1,59,187.525424,11064,15,5,4
11,03:00.0,0003,7454,22:55.0,0022,19,7466,57,45,12,36,0,14.85,30:00.0,50:00.0,8653,1,49,176.591837,8653,8,9,-1
5,32:39.6,0032,5623,45:51.7,0045,13,5629,33,24,9,27.69,0,13.2,40:00.0,30:00.0,12653,1,72,175.736111,12653,7,5,-1
14,09:51.2,0009,8370,29:16.2,0029,20,8384,32,15,17,42,0,16.35,27:00.0,48:00.0,10000,1,80,125,10000,20,4,-1
10,33:24.2,0033,14163,47:03.2,0047,14,14174,28,17,11,47.14,0,13.65,00:00.0,20:00.0,14167,1,93,152.333333,14167,19,3,-1
40,42:25.1,0042,22318,51:37.2,0051,9,22358,97,62,35,34.78,0,0,52:00.0,00:00.0,6014,1,40,150.35,6014,11,16,10
29,00:46.4,0000,16988,03:56.5,0003,3,17047,58,32,26,56.19,32.25,0,15:00.0,31:00.0,3112,1,128,95.6875,12248,16,9,4
9,06:42.2,0006,8306,43:18.2,0043,37,8325,64,49,15,30.81,0,33.58,42:00.0,04:00.0,8107,1,48,168.895833,8107,9,9,7
11,28:10.6,0028,9677,41:34.6,0041,13,9687,77,62,15,46.15,13.4,0,40:00.0,10:00.0,6443,1,26,247.807692,6443,19,13,10
13,14:27.4,0014,14825,41:05.5,0041,27,14838,89,78,11,28.89,0,4.07,54:00.0,54:00.0,3933,1,27,145.666667,3933,18,15,13
30,07:28.8,0007,15963,47:15.9,0047,40,15994,103,66,37,46.5,26.43,0,00:00.0,30:00.0,6804,1,31,219.483871,6804,24,16,-1
7,12:43.6,0012,23398,25:57.6,0025,13,23405,56,49,7,32.31,0,0,50:00.0,50:00.0,9676,1,53,182.566038,9676,11,9,7
4,14:51.1,0014,19481,30:53.1,0030,16,19485,100,94,6,15,0,0,40:00.0,50:00.0,1693,1,4,423.25,1693,6,16,16
8,11:37.0,0011,13121,25:30.0,0025,14,13130,41,31,10,38.57,0,10.83,00:00.0,40:00.0,12021,1,114,105.447368,12021,19,6,-1
7,06:22.3,0006,14749,16:03.4,0016,10,14756,35,25,10,42,0,9.68,00:00.0,40:00.0,13969,1,81,172.45679,13969,19,5,3
27,09:59.2,0009,15354,32:52.2,0032,23,15381,43,2,41,70.43,0,22.88,30:00.0,50:00.0,16377,1,69,308.826087,21309,24,6,0
10,26:15.1,0026,20314,46:09.2,0046,20,20324,35,22,13,30,0,17.87,50:00.0,30:00.0,12747,1,62,205.596774,12747,13,6,2
39,24:43.9,0024,22981,43:31.1,0043,19,23022,102,60,42,31.14,0,0,44:00.0,01:00.0,6131,1,41,149.536585,6131,11,16,-1
30,33:59.0,0033,15498,33:28.1,0033,0,15530,103,68,35,32,27.73,0,34:00.0,35:00.0,5383,1,32,168.21875,5383,24,16,11
19,26:22.7,0026,7457,56:26.8,0056,30,7476,87,72,15,38,0,0,59:00.0,33:00.0,4347,1,39,111.461538,4347,9,15,12
10,40:58.2,0040,5989,57:07.2,0057,17,5999,36,24,12,35.29,0,0,40:00.0,30:00.0,12812,1,75,170.826667,12812,7,5,3
23,17:59.3,0017,20700,21:59.4,0021,4,20723,74,49,25,21.56,0,0,00:00.0,50:00.0,7511,1,47,159.808511,7511,13,12,8
17,51:58.2,0051,19485,52:52.3,0052,1,19541,102,34,68,55.08,0,49.93,53:00.0,27:00.0,9926,1,17,583.882353,9926,6,8,5
11,25:01.3,0025,4270,42:39.3,0042,17,4282,84,72,12,42.35,0,15.07,10:00.0,00:00.0,4559,1,24,189.958333,4559,8,14,12
38,31:22.5,0031,16498,47:15.6,0047,16,16538,97,48,49,31.58,0,73.33,00:00.0,10:00.0,7898,1,40,197.45,7898,11,16,-1
17,07:46.6,0007,12325,11:51.7,0011,4,12344,84,63,21,17.81,0,0,13:00.0,30:00.0,6124,1,40,153.1,6124,14,14,10
35,23:45.8,0023,16954,29:54.9,0029,6,16994,96,51,45,36.36,0,0,32:00.0,29:00.0,8870,1,40,221.75,8870,11,16,-1
6,07:25.9,0007,8785,24:50.9,0024,17,8792,31,23,8,24.71,0,10.25,50:00.0,40:00.0,13010,1,70,185.857143,13010,19,4,3
17,01:02.2,0001,13036,52:04.2,0052,51,13092,101,42,59,65.88,4.6,49.5,54:00.0,56:00.0,8760,1,56,156.428571,8760,6,9,-1
37,35:57.7,0035,17713,49:15.8,0049,14,17752,69,30,39,31.62,0,0,51:00.0,53:00.0,11117,1,62,186.467742,11561,11,11,4
71,20:40.2,0020,13588,30:57.3,0030,10,13662,98,12,86,63.43,0,0,33:00.0,48:00.0,4679,0,,,,10,16,0
57,08:47.9,0008,5066,33:05.0,0033,25,5130,101,39,62,45.18,84.29,8,40:00.0,00:00.0,10584,1,66,160.363636,10584,6,15,5
4,27:47.1,0027,4616,30:48.1,0030,3,4617,49,48,1,20,0,3.02,30:00.0,30:00.0,10460,1,136,76.911765,10460,24,7,6
9,29:51.5,0029,1552,39:52.5,0039,10,1561,92,80,12,54,0,10.02,30:00.0,10:00.0,4078,1,20,203.9,4078,8,15,12
3,56:09.1,0056,4625,59:54.1,0059,3,4627,99,96,3,40,0,3.75,00:00.0,10:00.0,2516,1,4,629,2516,24,16,-1
63,04:16.3,0004,20417,51:17.4,0051,47,20481,104,17,87,81.7,1,47.02,50:00.0,00:00.0,13179,1,64,205.921875,13179,6,16,-1
24,11:28.7,0011,14063,57:40.8,0057,46,14087,49,27,22,31.3,46.2,0,05:00.0,25:00.0,12151,1,82,148.182927,12151,5,7,3
15,10:07.3,0010,6622,34:04.3,0034,24,6638,88,73,15,40,0,0,39:00.0,01:00.0,3782,1,31,122,3782,9,15,-1
8,29:44.3,0029,13663,49:20.4,0049,20,13671,49,38,11,24,0,0,50:00.0,16:00.0,9922,1,80,182.5125,14601,10,7,5
66,13:14.2,0013,13092,33:01.3,0033,20,13159,102,27,75,50.25,0,0,40:00.0,20:00.0,11575,1,67,172.761194,11575,6,16,4
1,40:10.9,0040,6070,46:53.9,0046,6,6071,76,74,2,10,0,0,30:00.0,40:00.0,3000,1,82,126.231707,10351,12,13,12
56,07:07.8,0007,8222,16:23.9,0016,9,8280,96,29,67,50.43,26.9,0,10:00.0,40:00.0,11221,1,58,193.465517,11221,6,16,5
3,15:38.2,0015,1452,27:09.2,0027,12,1456,89,83,6,20,11.52,11.52,20:00.0,00:00.0,4268,1,9,474.222222,4268,8,15,14
60,07:01.5,0007,4875,12:07.6,0012,5,4932,102,55,47,52.62,60.84,64.1,10:00.0,30:00.0,8590,1,61,140.819672,8590,6,16,7
4,04:58.0,0004,11512,22:44.0,0022,18,11521,51,42,9,30,17.77,0,50:00.0,50:00.0,9610,1,52,184.807692,9610,15,7,-1
6,08:20.4,0008,8536,25:22.5,0025,17,8542,86,75,11,21.18,0,0,20:00.0,50:00.0,3606,1,12,300.5,3606,22,15,13
